E-GPE G-VBD G-VBN E-DATE E-PERSON	What @VBD-0 @VBN-0 @DATE-E @PERSON-E	0.5	Y
E-GPE G-VBD G-VBN E-DATE E-PERSON	Who @VBN-0 @GPE-N @DATE-E	20	Y
E-GPE G-VBD G-VBN E-DATE E-PERSON	When did @PERSON-N @VBN-L @GPE-0	1.5	Y
E-DATE E-GPE G-VBD G-VBN R-REST	When @VBD-0 @GPE-N @VBN-0 @REST-R	1	Y
E-DATE E-GPE G-VBD G-VBN R-REST	@DATE-E, what @VBD-0 @VBN-0 @REST-R	1.5	Y
E-GPE G-VBZ R-REST	What @VBZ-0 @REST-R	5	Y
E-GPE G-VBZ R-REST	@VBZ-0 @GPE-E @REST-R	0.3	Y
E-NORP G-VBZ R-REST	@VBZ-0 @NORP-F @REST-R	0.3	Y
E-GPE G-POS R-REST	Whose @REST-R	10	Y
G-DT E-ORG G-VBN E-DATE	When was @ORG-F @VBN-0	10	Y
E-DATE E-GPE G-VBD R-REST	When did @GPE-N @VBD-L @REST-R	10	Y
E-DATE E-ORG G-VBD G-VBN	What happened to @ORG-N during @DATE-N	0.5	Y
E-DATE E-NORP G-VBD G-VBN	What happened to @NORP-N during @DATE-N	0.5	Y
E-DATE E-PERSON G-VBD G-VBN	What happened to @PERSON-N during @DATE-N	0.5	Y
E-PERSON G-VBZ R-REST	Who @VBZ-0 @REST-R	20	Y
E-PERSON G-VBD R-REST	What did @PERSON-E @VBD-0	0.9	Y
E-PERSON G-VBD R-REST	Who @VBD-0 @REST-R	20	Y
E-ORG G-VBZ R-REST	@VBZ-0 @ORG-F @REST-R	0.4	Y
E-PRODUCT G-VBD R-REST	What @VBD-0 @REST-R	0.9	Y
E-PRODUCT G-VBZ R-REST	What @VBZ-0 @REST-R	0.9	Y
G-IN E-DATE E-PERSON G-VBD R-REST	When did @PERSON-E @VBD-L @REST-R	2	Y
G-IN E-DATE E-PERSON G-VBD R-REST	When did @PERSON-E @VBD-L on @DATE-N	2	Y
E-PERSON G-VBD G-VBN G-IN G-NNP	Who @VBD-0 @VBN-0 @IN-0 @NNP-E	50	Y
E-PERSON G-VBD G-VBN G-IN E-PERSON	Who @VBD-0 @VBN-0 @IN-0 @PERSON-E	50	Y
E-PERSON G-VBD G-VBN G-IN G-ORG	Who @VBD-0 @VBN-0 @IN-0 @ORG-E	50	Y
E-PERSON G-VBD G-VBN G-IN G-NORP	Who @VBD-0 @VBN-0 @IN-0 @NORP-E	50	Y
E-NNP G-VBD G-VBN G-IN G-NNP	What @VBD-0 @VBN-0 @IN-0 @NNP-E	2	Y
E-NNP G-VBD G-VBN G-IN G-ORG	What @VBD-0 @VBN-0 @IN-0 @ORG-E	2	Y
E-NNP G-VBD G-VBN G-IN G-NORP	What @VBD-0 @VBN-0 @IN-0 @NORP-E	2	Y
E-NNP G-VBD G-VBN G-IN E-PERSON	What @VBD-0 @VBN-0 @IN-0 @PERSON-E	2	Y
E-ORG G-VBD G-VBN G-IN G-NNP	What @VBD-0 @VBN-0 @IN-0 @NNP-E	2	Y
E-NORP G-VBD G-VBN G-IN G-NNP	What @VBD-0 @VBN-0 @IN-0 @NNP-E	2	Y
E-ORG G-VBD G-VBN G-IN E-PERSON	What @VBD-0 @VBN-0 @IN-0 @PERSON-E	2	Y
E-NORP G-VBD G-VBN G-IN E-PERSON	What @VBD-0 @VBN-0 @IN-0 @PERSON-E	2	Y
G-DT G-NN G-VBZ R-REST	What @NN-0 @VBZ-0 @REST-R	5	Y
G-DT G-NN G-VBD R-REST	What @NN-0 @VBD-0 @REST-R	5	Y
G-NNP G-VBZ G-VBN R-REST	What @VBZ-0 @VBN-0 @REST-R	5	Y
G-DT G-NNP G-VBD R-REST	Who or what @VBD-0 @REST-R	5	Y
G-NNP G-VBZ G-VBN R-REST	What @VBZ-0 @VBN-0 @REST-R	5	Y
G-NNP G-VBZ G-DT E-ORDINAL R-REST	What @VBZ-0 @DT-0 @REST-R	0.5	Y
G-NNP G-VBS G-DT E-ORDINAL R-REST	What @VBS-0 @DT-0 @REST-R	0.5	Y
G-NNP G-VBD G-DT E-ORDINAL R-REST	What @VBD-0 @DT-0 @REST-R	0.5	Y
G-NNP G-VBZ G-IN R-REST	What @VBZ-0 @IN-0 @REST-R	5	Y
G-IN E-DATE G-, G-NNP R-REST	@IN-0 @DATE-F who @REST-R	5	N
G-IN E-DATE G-NNP R-REST	@IN-0 @DATE-F what @REST-R	5	N
G-IN E-DATE G-, E-ORG R-REST	@IN-0 @DATE-F who @REST-R	5	N
